Etrit Berisha, Albanien
Alban Hoxha, Albanien
Orges Shehi, Albanien
Ansi Agolli, Albanien
Arlind Ajeti, Albanien
Naser Aliji, Albanien
Elseid Hysaj, Albanien
Andi Lila, Albanien
Mërgim Mavraj, Albanien
Frédéric Veseli, Albanien
Amir Abrashi, Albanien
Migjen Basha, Albanien
Lorik Cana, Albanien
Ergys Kaçe, Albanien
Burim Kukeli, Albanien
Ermir Lenjani, Albanien
Ledian Memushaj, Albanien
Odise Roshi, Albanien
Taulant Xhaka, Albanien
Bekim Balaj, Albanien
Sokol Çikalleshi, Albanien
Shkelzen Gashi, Albanien
Armando Sadiku, Albanien
Thibaut Courtois, Belgien
Jean-François Gillet, Belgien
Simon Mignolet, Belgien
Toby Alderweireld, Belgien
Laurent Ciman, Belgien
Jason Denayer, Belgien
Christian Kabasele, Belgien
Jordan Lukaku, Belgien
Thomas Meunier, Belgien
Thomas Vermaelen, Belgien
Jan Vertonghen, Belgien
Yannick Carrasco, Belgien
Kevin De Bruyne, Belgien
Mousa Dembélé, Belgien
Marouane Fellaini, Belgien
Eden Hazard, Belgien
Radja Nainggolan, Belgien
Axel Witsel, Belgien
Michy Batshuayi, Belgien
Christian Benteke, Belgien
Romelu Lukaku, Belgien
Dries Mertens, Belgien
Divock Origi, Belgien
Robert Almer, Österrike
Heinz Lindner, Österrike
Ramazan Özcan, Österrike
Aleksandar Dragović, Österrike
Christian Fuchs, Österrike
Martin Hinteregger, Österrike
Florian Klein, Österrike
Sebastian Prödl, Österrike
Markus Suttner, Österrike
Kevin Wimmer, Österrike
David Alaba, Österrike
Julian Baumgartlinger, Österrike
György Garics, Österrike
Martin Harnik, Österrike
Stefan Ilsanker, Österrike
Jakob Jantscher, Österrike
Zlatko Junuzović, Österrike
Marcel Sabitzer, Österrike
Alessandro Schöpf, Österrike
Marko Arnautović, Österrike
Lukas Hinterseer, Österrike
Marc Janko, Österrike
Rubin Okotie, Österrike
Lovre Kalinić, Kroatien
Danijel Subašić, Kroatien
Ivan Vargić, Kroatien
Vedran Ćorluka, Kroatien
Tin Jedvaj, Kroatien
Gordon Schildenfeld, Kroatien
Darijo Srna, Kroatien
Ivan Strinić, Kroatien
Domagoj Vida, Kroatien
Šime Vrsaljko, Kroatien
Milan Badelj, Kroatien
Marcelo Brozović, Kroatien
Ante Ćorić, Kroatien
Mateo Kovačić, Kroatien
Luka Modrić, Kroatien
Ivan Perišić, Kroatien
Ivan Rakitić, Kroatien
Marko Rog, Kroatien
Duje Čop, Kroatien
Nikola Kalinić, Kroatien
Andrej Kramarić, Kroatien
Mario Mandžukić, Kroatien
Marko Pjaca, Kroatien
Petr Čech, Tjeckien
Tomáš Koubek, Tjeckien
Tomáš Vaclík, Tjeckien
Theodor Gebre Selassie, Tjeckien
Roman Hubník, Tjeckien
Pavel Kadeřábek, Tjeckien
Michal Kadlec, Tjeckien
David Limberský, Tjeckien
Tomáš Sivok, Tjeckien
Marek Suchý, Tjeckien
Vladimír Darida, Tjeckien
Bořek Dočkal, Tjeckien
Daniel Kolář, Tjeckien
Ladislav Krejčí, Tjeckien
David Pavelka, Tjeckien
Jaroslav Plašil, Tjeckien
Daniel Pudil, Tjeckien
Tomáš Rosický, Tjeckien
Jiří Skalák, Tjeckien
Josef Šural, Tjeckien
David Lafata, Tjeckien
Tomáš Necid, Tjeckien
Milan Škoda, Tjeckien
Fraser Forster, England
Joe Hart, England
Tom Heaton, England
Ryan Bertrand, England
Gary Cahill, England
Nathaniel Clyne, England
Danny Rose, England
Chris Smalling, England
John Stones, England
Kyle Walker, England
Dele Alli, England
Ross Barkley, England
Eric Dier, England
Jordan Henderson, England
Adam Lallana, England
James Milner, England
Raheem Sterling, England
Jack Wilshere, England
Harry Kane, England
Marcus Rashford, England
Wayne Rooney, England
Daniel Sturridge, England
Jamie Vardy, England
Benoît Costil, Frankrike
Hugo Lloris, Frankrike
Steve Mandanda, Frankrike
Lucas Digne, Frankrike
Patrice Evra, Frankrike
Christophe Jallet, Frankrike
Laurent Koscielny, Frankrike
Eliaquim Mangala, Frankrike
Adil Rami, Frankrike
Bacary Sagna, Frankrike
Samuel Umtiti, Frankrike
Yohan Cabaye, Frankrike
Kingsley Coman, Frankrike
N'Golo Kanté, Frankrike
Blaise Matuidi, Frankrike
Dimitri Payet, Frankrike
Paul Pogba, Frankrike
Morgan Schneiderlin, Frankrike
Moussa Sissoko, Frankrike
André-Pierre Gignac, Frankrike
Olivier Giroud, Frankrike
Antoine Griezmann, Frankrike
Anthony Martial, Frankrike
Bernd Leno, Tyskland
Manuel Neuer, Tyskland
Marc-André ter Stegen, Tyskland
Jérôme Boateng, Tyskland
Jonas Hector, Tyskland
Benedikt Höwedes, Tyskland
Mats Hummels, Tyskland
Joshua Kimmich, Tyskland
Shkodran Mustafi, Tyskland
Antonio Rüdiger, Tyskland
Emre Can, Tyskland
Julian Draxler, Tyskland
Mario Götze, Tyskland
Sami Khedira, Tyskland
Toni Kroos, Tyskland
Mesut Özil, Tyskland
Leroy Sané, Tyskland
André Schürrle, Tyskland
Bastian Schweinsteiger, Tyskland
Julian Weigl, Tyskland
Mario Gomez, Tyskland
Thomas Müller, Tyskland
Lukas Podolski, Tyskland
Dénes Dibusz, Ungern
Péter Gulácsi, Ungern
Gábor Király, Ungern
Barnabás Bese, Ungern
Attila Fiola, Ungern
Richárd Guzmics, Ungern
Roland Juhász, Ungern
Tamás Kádár, Ungern
Mihály Korhut, Ungern
Ádám Lang, Ungern
Ádám Pintér, Ungern
Ákos Elek, Ungern
László Kleinheisler, Ungern
Gergő Lovrencsics, Ungern
Ádám Nagy, Ungern
Zoltán Stieber, Ungern
Dániel Böde, Ungern
Balázs Dzsudzsák, Ungern
Zoltán Gera, Ungern
Krisztián Németh, Ungern
Nemanja Nikolić, Ungern
Tamás Priskin, Ungern
Ádám Szalai, Ungern
Hannes Halldórsson, Island
Ingvar Jónsson, Island
Ögmundur Kristinsson, Island
Elmar Bjarnason, Island
Haukur Heidar Hauksson, Island
Hjörtur Hermannsson, Island
Sverrir Ingason, Island
Hordur Magnússon, Island
Birkir Sævarsson, Island
Ragnar Sigurdsson, Island
Ari Skúlason, Island
Arnor Ingvi Traustason, Island
Kári Árnason, Island
Birkir Bjarnason, Island
Aron Gunnarsson, Island
Emil Hallfredsson, Island
Gylfi Sigurdsson, Island
Rúnar Már Sigurjónsson, Island
Jón Dadi Bödvarsson, Island
Alfred Finnbogason, Island
Eidur Gudjohnsen, Island
Johann Gudmundsson, Island
Kolbeinn Sigthórsson, Island
Gianluigi Buffon, Italien
Federico Marchetti, Italien
Salvatore Sirigu, Italien
Andrea Barzagli, Italien
Leonardo Bonucci, Italien
Giorgio Chiellini, Italien
Matteo Darmian, Italien
Mattia De Sciglio, Italien
Angelo Ogbonna, Italien
